,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,y
1446,-0.893951864446,-0.896359251567,1.63447142882,1.6485587667,0.817582959071,0.483288217556,-0.541025826336,-0.694109430082,-0.775301698746,-0.249916793966,-0.439273716251,-0.832790017502,1.40208235706,0.919827514551,-0.0350558244144,-0.534145390616,-0.472955215341
1447,-0.324739196817,0.678603384212,0.494834346638,1.9249050486,0.817582959071,0.700262848031,-1.09017960144,-0.991573464471,-1.24254482436,1.25444196366,-0.439273716251,-0.832790017502,1.40208235706,-1.13348388557,0.187433404491,-0.474781702629,-0.472955215341
1448,-2.0323771997,-1.42134679683,-0.644802735548,0.54317363912,0.289853538208,-0.167635673868,-1.09017960144,-0.396645395693,-0.775301698746,-0.249916793966,0.919312325854,-0.154436728366,2.4291152841,1.60426464793,-1.59248042675,-2.10134675347,-0.472955215341
1449,0.244473470811,-0.196375857888,1.63447142882,1.09586620291,0.289853538208,0.483288217556,-1.09017960144,-0.991573464471,-1.24254482436,-0.249916793966,-1.1185667373,-0.832790017502,-0.651983497006,-1.13348388557,0.632411862302,0.320691716395,-0.472955215341
1450,-1.17855819826,-1.07135509999,0.494834346638,1.09586620291,0.553718248639,1.13421210898,-1.09017960144,-0.991573464471,-1.24254482436,0.502262584849,-1.1185667373,-0.832790017502,-0.138467033489,0.919827514551,-0.591278896678,-0.914072993732,-0.472955215341
1451,-0.0401328630029,0.678603384212,1.06465288773,1.09586620291,1.60917709036,0.917237478506,0.00812794877041,2.57799494819,2.02815705494,2.00662134248,-0.439273716251,-0.832790017502,1.40208235706,1.60426464793,0.854901091207,1.03305597224,-0.472955215341
1452,-0.0401328630029,-0.546367554728,2.20428996992,1.37221248481,0.289853538208,0.0493389566069,-1.09017960144,-0.396645395693,-0.775301698746,0.502262584849,0.240019304801,-0.832790017502,-0.651983497006,-0.449046752198,0.521167247849,0.926201333862,-0.472955215341
1453,-0.609345530632,-0.0213800094679,1.06465288773,1.9249050486,0.0259888277766,-0.384610304343,0.00812794877041,1.98306687942,1.56091392933,1.00371550406,-1.1185667373,0.52391656077,-0.651983497006,-1.13348388557,-0.25754505332,0.391928141979,-0.472955215341
1454,0.529079804626,0.328611687372,1.06465288773,0.54317363912,1.0814476695,0.483288217556,-1.09017960144,1.38813881064,0.626427678098,0.502262584849,-0.439273716251,-0.154436728366,-0.651983497006,0.919827514551,1.07739032011,1.32987441217,-0.472955215341
1455,-1.17855819826,-1.42134679683,-0.0749841944549,-0.00951892467242,0.817582959071,0.266313587082,-0.541025826336,-1.28903749886,-1.24254482436,-1.00209617278,-1.1185667373,-0.154436728366,0.888565893546,-1.13348388557,-0.591278896678,-0.973436681719,-0.472955215341
1456,-0.324739196817,0.678603384212,0.494834346638,1.09586620291,2.40077122166,2.00211063088,-1.09017960144,0.198282673084,-0.308058573131,0.251536125244,0.240019304801,-0.154436728366,-0.138467033489,-0.449046752198,0.854901091207,0.558146468343,-0.472955215341
1457,0.81368613844,0.328611687372,2.77410851101,1.6485587667,1.0814476695,0.483288217556,-0.541025826336,-0.0991813613045,-0.308058573131,1.25444196366,1.59860534691,-0.832790017502,-0.651983497006,1.60426464793,1.63361339238,2.35092984555,-0.472955215341
1458,0.244473470811,0.153615838952,1.06465288773,1.37221248481,-0.765605303518,-0.818559565292,-1.09017960144,-0.694109430082,-1.00892326155,2.00662134248,0.240019304801,-0.154436728366,-0.138467033489,-0.449046752198,0.0761887900382,0.593764681135,-0.472955215341
1459,-1.46316453207,0.153615838952,0.494834346638,1.6485587667,0.289853538208,-0.167635673868,0.00812794877041,0.198282673084,0.159184552483,0.000809665639197,0.240019304801,-0.832790017502,0.375049430029,-0.449046752198,-0.925012740036,-1.30587333445,-0.472955215341
1460,-0.609345530632,-0.0213800094679,1.63447142882,1.6485587667,2.40077122166,2.21908526135,-1.09017960144,0.495746707473,-0.074437010324,-0.751369713175,0.919312325854,-0.154436728366,3.45614821113,-0.449046752198,0.854901091207,-0.213581475487,-0.472955215341
1461,0.244473470811,0.503607535792,2.77410851101,1.9249050486,1.34531237993,1.13421210898,-1.09017960144,-0.396645395693,-0.775301698746,-0.249916793966,0.919312325854,-0.154436728366,-1.16549996052,-0.449046752198,1.29987954902,1.32987441217,-0.472955215341
1462,0.244473470811,0.328611687372,1.06465288773,1.37221248481,1.34531237993,1.35118673946,0.00812794877041,0.198282673084,0.159184552483,1.25444196366,0.240019304801,-0.832790017502,2.4291152841,0.919827514551,0.96614570566,0.61751015633,-0.472955215341
1463,-0.893951864446,-0.371371706308,-0.0749841944549,1.6485587667,2.13690651123,2.00211063088,-0.541025826336,0.793210741862,0.392806115291,0.251536125244,0.919312325854,-0.154436728366,-0.651983497006,1.60426464793,0.187433404491,0.451291829966,-0.472955215341
1464,1.9521114737,2.07857017157,0.494834346638,1.09586620291,0.553718248639,0.483288217556,-0.541025826336,-0.694109430082,-0.775301698746,-0.50064325357,0.240019304801,-0.832790017502,0.888565893546,1.60426464793,1.85610262128,0.605637418732,-0.472955215341
1465,1.9521114737,1.37858677789,1.63447142882,1.6485587667,1.0814476695,1.13421210898,0.00812794877041,-0.991573464471,-0.775301698746,0.502262584849,0.919312325854,-0.832790017502,0.888565893546,1.60426464793,2.30108107909,1.86414760405,-0.472955215341
1466,0.244473470811,1.20359092947,1.06465288773,1.37221248481,-0.501740593086,-0.818559565292,-0.541025826336,-0.991573464471,-1.00892326155,-1.00209617278,-0.439273716251,-0.832790017502,0.888565893546,-0.449046752198,0.187433404491,-1.12778227049,-0.472955215341
1467,-0.324739196817,-0.371371706308,1.06465288773,1.09586620291,0.289853538208,-0.167635673868,-1.09017960144,-0.0991813613045,-0.541680135939,0.752989044453,0.919312325854,-0.832790017502,0.375049430029,0.235390381177,0.0761887900382,0.320691716395,-0.472955215341
1468,0.529079804626,1.02859508105,-0.0749841944549,1.6485587667,2.66463593209,2.21908526135,0.557281723877,0.793210741862,0.860049240905,0.251536125244,1.59860534691,-0.154436728366,2.4291152841,0.235390381177,1.52236877792,1.16365608581,-0.472955215341
1469,0.244473470811,1.37858677789,1.63447142882,2.47759761239,1.60917709036,1.35118673946,-0.541025826336,-0.694109430082,-0.775301698746,0.502262584849,-1.1185667373,-0.832790017502,2.94263174762,1.60426464793,1.18863493457,-0.439163489837,-0.472955215341
