,Player,Team,Season,cluster,score,zscore,rank,RANK
2394,Theo Ratliff,76ers,1998-1999,0,117.788540021,0.949671474397,124.0,6.0
2459,Danny Fortson,Nuggets,1998-1999,0,44.2202157935,-0.0569116522934,313.0,11.0
2526,Dikembe Mutombo,Hawks,1998-1999,0,159.875384905,1.52551587972,54.0,4.0
2846,Vitaly Potapenko,"Cavaliers, Celtics",1998-1999,0,13.933013117,-0.471309934284,425.0,17.0
2939,Othella Harrington,Rockets,1998-1999,0,-7.82778672761,-0.769047502412,526.0,20.0
3376,Erick Dampier,Warriors,1998-1999,0,32.7231780025,-0.214217454333,355.0,13.0
3502,Shawn Bradley,Mavericks,1998-1999,0,105.993371316,0.788286558819,142.0,7.0
3722,Jayson Williams,Nets,1998-1999,0,64.0651297832,0.214612210489,256.0,9.0
3943,Olden Polynice,SuperSonics,1998-1999,0,27.0038562054,-0.292470872193,372.0,14.0
4508,Lorenzen Wright,Clippers,1998-1999,0,2.07455569995,-0.633560784359,474.0,18.0
5094,Greg Ostertag,Jazz,1998-1999,0,118.830548691,0.963928538909,119.0,5.0
5437,Ervin Johnson,Bucks,1998-1999,0,37.9653845333,-0.142492065778,340.0,12.0
6500,Charles Shackleford,Hornets,1998-1999,0,-55.5632199256,-1.42217752959,667.0,23.0
6639,Adonal Foyle,Warriors,1998-1999,0,-23.4884409102,-0.983321110227,586.0,21.0
6674,Corie Blount,"Lakers, Cavaliers",1998-1999,0,20.4810465729,-0.381717843409,409.0,15.0
6797,Chris Dudley,Knicks,1998-1999,0,-50.2892863013,-1.35001804175,661.0,22.0
6879,Eric Montross,Pistons,1998-1999,0,-2.18320714732,-0.691816729217,502.0,19.0
6925,Mark West,Hawks,1998-1999,0,-73.5316200763,-1.66802638636,684.0,24.0
17,Shaquille O'Neal,Lakers,1999-2000,0,281.851318287,3.19442593977,2.0,1.0
288,Alonzo Mourning,Heat,1999-2000,0,203.648183203,2.12442798812,28.0,2.0
1805,Rik Smits,Pacers,1999-2000,0,7.26137898913,-0.562593165362,455.0,18.0
1884,Elden Campbell,Hornets,1999-2000,0,95.7351876877,0.647931118357,165.0,6.0
2147,Theo Ratliff,76ers,1999-2000,0,129.620234199,1.11155614208,94.0,4.0
